股票代码,名称,benchmark,stock_day_return_pct,benchmark_day_return_pct,day_rs_pct,stock_late_return_pct,benchmark_late_return_pct,late_rs_pct,rs_labels
600103,青山纸业,上证指数,14.168937329700281,0.0001758846558397309,14.168761445044442,0.23923444976077235,-0.02770666901784624,0.2669411187786186,DAY_OUTPERFORM
603893,瑞芯微,上证指数,-0.6829268292682933,0.0001758846558397309,-0.683102713924133,0.5829463491749953,-0.02770666901784624,0.6106530181928416,LATE_OUTPERFORM
300476,胜宏科技,创业板指,-3.3318119580100447,-1.2194202521394693,-2.1123917058705755,0.2323180175529238,0.057349509138315824,0.17496850841460798,DAY_UNDERPERFORM
002463,沪电股份,深证成指,-3.3311979500320277,-1.0347198036043337,-2.296478146427694,0.4326123128119752,0.04538411854420055,0.38722819426777466,DAY_UNDERPERFORM
001309,德明利,深证成指,-4.261994732623375,-1.0347198036043337,-3.2272749290190412,0.16532886066851216,0.04538411854420055,0.11994474212431161,DAY_UNDERPERFORM
603083,剑桥科技,上证指数,-2.370370370370367,0.0001758846558397309,-2.370546255026207,0.5832651948759926,-0.02770666901784624,0.6109718638938388,DAY_UNDERPERFORM|LATE_OUTPERFORM
300570,太辰光,创业板指,-3.036822093255953,-1.2194202521394693,-1.8174018411164838,0.1809159516179104,0.057349509138315824,0.12356644247959458,DAY_UNDERPERFORM
300684,中石科技,创业板指,0.7407407407407529,-1.2194202521394693,1.9601609928802222,0.05254860746188861,0.057349509138315824,-0.004800901676427216,DAY_OUTPERFORM
002484,江海股份,深证成指,-12.853583467682839,-1.0347198036043337,-11.818863664078505,0.10101010101011276,0.04538411854420055,0.055625982465912216,DAY_UNDERPERFORM
601208,东材科技,上证指数,-7.509578544061302,0.0001758846558397309,-7.509754428717142,0.12442969722108455,-0.02770666901784624,0.1521363662389308,DAY_UNDERPERFORM
600176,中国巨石,上证指数,-5.823117338003492,0.0001758846558397309,-5.8232932226593315,-0.1392757660166999,-0.02770666901784624,-0.11156909699885365,DAY_UNDERPERFORM
600487,亨通光电,上证指数,-0.4876607063691418,0.0001758846558397309,-0.48783659102498156,0.34272090597526894,-0.02770666901784624,0.3704275749931152,
688256,寒武纪,科创50,-0.285924940207527,-1.926310870619885,1.640385930412358,-0.22581893100377393,0.011351578415741415,-0.23717050941951534,DAY_OUTPERFORM
000977,浪潮信息,深证成指,-0.34924330616997734,-1.0347198036043337,0.6854764974343563,0.12867001988536853,0.04538411854420055,0.08328590134116798,
300604,长川科技,创业板指,0.8586127372715913,-1.2194202521394693,2.0780329894110605,-0.2771346383217632,0.057349509138315824,-0.33448414746007904,DAY_OUTPERFORM
000938,紫光股份,深证成指,-1.0074916042366322,-1.0347198036043337,0.02722819936770149,-0.07822685788787531,0.04538411854420055,-0.12361097643207586,
300750,宁德时代,创业板指,-1.2110678915280393,-1.2194202521394693,0.008352360611429965,-0.33398274422488106,0.057349509138315824,-0.3913322533631969,
300418,昆仑万维,创业板指,4.409090909090896,-1.2194202521394693,5.6285111612303655,-0.15214083894805608,0.057349509138315824,-0.2094903480863719,DAY_OUTPERFORM
300285,国瓷材料,创业板指,-7.325901259591705,-1.2194202521394693,-6.106481007452235,-0.15598190609887874,0.057349509138315824,-0.21333141523719457,DAY_UNDERPERFORM
301526,国际复材,深证成指,-11.533626649905726,-1.0347198036043337,-10.498906846301391,-1.4010507880910739,0.04538411854420055,-1.4464349066352744,DAY_UNDERPERFORM|LATE_UNDERPERFORM
002131,利欧股份,深证成指,6.694560669456062,-1.0347198036043337,7.7292804730603955,0.7905138339920903,0.04538411854420055,0.7451297154478898,DAY_OUTPERFORM|LATE_OUTPERFORM
301217,铜冠铜箔,深证成指,-5.991276438153237,-1.0347198036043337,-4.956556634548903,-0.5831157528285447,0.04538411854420055,-0.6284998713727452,DAY_UNDERPERFORM|LATE_UNDERPERFORM
300620,光库科技,创业板指,-5.357891680913518,-1.2194202521394693,-4.138471428774048,-0.14294465999592498,0.057349509138315824,-0.2002941691342408,DAY_UNDERPERFORM
688627,精智达,科创50,-9.00383141762452,-1.926310870619885,-7.077520547004635,0.31678986272438703,0.011351578415741415,0.3054382843086456,DAY_UNDERPERFORM
688146,中船特气,科创50,-7.370642488666556,-1.926310870619885,-5.444331618046672,0.00843881856540385,0.011351578415741415,-0.002912759850337565,DAY_UNDERPERFORM
600664,哈药股份,上证指数,4.746136865342154,0.0001758846558397309,4.745960980686315,1.1727078891258014,-0.02770666901784624,1.2004145581436476,DAY_OUTPERFORM|LATE_OUTPERFORM
600722,金牛化工,上证指数,6.23529411764705,0.0001758846558397309,6.23511823299121,1.8038331454340417,-0.02770666901784624,1.831539814451888,DAY_OUTPERFORM|LATE_OUTPERFORM
688300,联瑞新材,科创50,-7.721320062860137,-1.926310870619885,-5.7950091922402525,-0.00567633535788481,0.011351578415741415,-0.017027913773626224,DAY_UNDERPERFORM
